data_type,approx_type,run_id,seed,final_loss,converged_epoch,param_0,param_1,param_mean,param_std
hill,hill,17,1017,0.22133328020572662,823,5.767119,5.7581086,5.762614,0.0045051575
hill,hill,18,1018,0.2174675166606903,1504,5.978258,7.6382103,6.808234,0.8299761
hill,hill,19,1019,0.21985025703907013,849,5.663973,6.3338566,5.9989147,0.33494186
hill,piecewise,0,1000,0.2160208523273468,706,0.29191124,0.13937353,0.2156424,0.07626886
hill,piecewise,1,1001,0.2162409871816635,644,0.29039514,0.13814779,0.21427146,0.07612368
hill,piecewise,2,1002,0.20824790000915527,1494,0.31428108,0.09013939,0.20221023,0.11207084
hill,piecewise,3,1003,0.20659740269184113,2745,0.332638,0.047235798,0.18993689,0.14270109
hill,piecewise,4,1004,0.20657069981098175,2475,0.33044398,0.051143203,0.19079359,0.13965039
hill,piecewise,5,1005,0.20283706486225128,1723,0.30894732,0.07353738,0.19124235,0.11770497
hill,piecewise,6,1006,0.20719872415065765,1863,0.25073838,0.06172738,0.15623288,0.094505504
hill,piecewise,7,1007,0.21656250953674316,649,0.2842196,0.15160628,0.21791294,0.06630666
hill,piecewise,8,1008,0.21707241237163544,566,0.29556417,0.15119584,0.22338,0.07218417
hill,piecewise,9,1009,0.2162223607301712,601,0.2959432,0.1469405,0.22144185,0.07450135
hill,piecewise,10,1010,0.21917690336704254,509,0.2886997,0.16719864,0.22794917,0.06075052
hill,piecewise,11,1011,0.2011401504278183,1277,0.24829428,0.09376169,0.17102799,0.0772663
hill,piecewise,12,1012,0.22701026499271393,590,0.17186208,0.18319492,0.1775285,0.00566642
hill,piecewise,13,1013,0.2190948873758316,550,0.29503444,0.17113642,0.23308542,0.061949007
hill,piecewise,14,1014,0.18295320868492126,900,0.3223794,0.14710246,0.23474094,0.087638475
hill,piecewise,15,1015,0.1692383736371994,2370,0.33485484,0.05735455,0.19610469,0.13875014
hill,piecewise,16,1016,0.20620721578598022,1464,0.3031696,0.08373718,0.1934534,0.109716214
