epoch,loss_total,loss_data,loss_physics,loss_ic,param_0,param_1
0,14.111469268798828,2.2087366580963135,0.8457037806510925,11.057028770446777,0.25,0.25
1,13.242774963378906,1.9834470748901367,0.6972939968109131,10.562033653259277,0.25,0.25
2,12.487663269042969,1.8011401891708374,0.579639732837677,10.10688304901123,0.25,0.25
3,11.993881225585938,1.6990208625793457,0.5231407880783081,9.771719932556152,0.25,0.25
4,11.518057823181152,1.6011279821395874,0.4653393030166626,9.451590538024902,0.25,0.25
5,11.117501258850098,1.5102200508117676,0.41505271196365356,9.192228317260742,0.25,0.25
6,10.677680969238281,1.4116830825805664,0.35471290349960327,8.911285400390625,0.25,0.25
7,10.27108383178711,1.3081740140914917,0.2928987443447113,8.670010566711426,0.25,0.25
8,10.004911422729492,1.2120460271835327,0.24120141565799713,8.551664352416992,0.25,0.25
9,9.428123474121094,1.1147407293319702,0.19281378388404846,8.120569229125977,0.25,0.25
10,9.046092987060547,1.0266293287277222,0.15147700905799866,7.867987155914307,0.25,0.25
11,8.62735366821289,0.9462597966194153,0.11470949649810791,7.566384315490723,0.25,0.25
12,8.246665954589844,0.872164249420166,0.08127569407224655,7.2932257652282715,0.25,0.25
13,7.876899719238281,0.7993561029434204,0.05575283244252205,7.021790981292725,0.25,0.25
14,7.539405345916748,0.7341168522834778,0.038367729634046555,6.766920566558838,0.25,0.25
15,7.228493690490723,0.6811041831970215,0.030003705993294716,6.517385959625244,0.25,0.25
16,6.952056407928467,0.6368213295936584,0.028683166950941086,6.2865519523620605,0.25,0.25
17,6.680771827697754,0.598233699798584,0.03601673245429993,6.046521186828613,0.25,0.25
18,6.45883321762085,0.5681896209716797,0.052036285400390625,5.838607311248779,0.25,0.25
19,6.257833003997803,0.5454735159873962,0.07210054248571396,5.6402587890625,0.25,0.25
20,6.078219413757324,0.5298173427581787,0.09557915478944778,5.452823162078857,0.25,0.25
21,5.909286022186279,0.5198995471000671,0.1224515363574028,5.266934871673584,0.25,0.25
22,5.7669830322265625,0.5147654414176941,0.15384441614151,5.098372936248779,0.25,0.25
23,5.638055324554443,0.5123741626739502,0.18260040879249573,4.943080902099609,0.25,0.25
24,5.519617080688477,0.5104648470878601,0.20556794106960297,4.803584098815918,0.25,0.25
