epoch,loss_total,loss_data,loss_physics,loss_ic,param_0,param_1
0,15.066730499267578,2.44244647026062,1.0288457870483398,11.595438003540039,0.25,0.25
1,13.946605682373047,2.1584835052490234,0.8275882005691528,10.96053409576416,0.25,0.25
2,13.210794448852539,1.9903132915496826,0.7173927426338196,10.503087997436523,0.25,0.25
3,12.741387367248535,1.8940647840499878,0.6610354781150818,10.186286926269531,0.25,0.25
4,12.331539154052734,1.7920870780944824,0.6011168360710144,9.938335418701172,0.25,0.25
5,11.912527084350586,1.6909719705581665,0.5331573486328125,9.688398361206055,0.25,0.25
6,11.38696002960205,1.5757068395614624,0.46722060441970825,9.344032287597656,0.25,0.25
7,10.871706008911133,1.4600507020950317,0.38522443175315857,9.0264310836792,0.25,0.25
8,10.398674011230469,1.352002501487732,0.31820759177207947,8.728464126586914,0.25,0.25
9,9.948356628417969,1.2462105751037598,0.25877687335014343,8.443368911743164,0.25,0.25
10,9.481383323669434,1.1390002965927124,0.2001594752073288,8.142223358154297,0.25,0.25
11,9.050760269165039,1.0401499271392822,0.1472209244966507,7.863389492034912,0.25,0.25
12,8.676371574401855,0.9543039798736572,0.10566751658916473,7.616400241851807,0.25,0.25
13,8.30101203918457,0.8765755891799927,0.0766260102391243,7.3478102684021,0.25,0.25
14,7.953747749328613,0.80585777759552,0.051426567137241364,7.096463203430176,0.25,0.25
15,7.618113994598389,0.7429854869842529,0.03611540049314499,6.83901309967041,0.25,0.25
16,7.3129754066467285,0.6877865195274353,0.02261297032237053,6.602575778961182,0.25,0.25
17,7.006067276000977,0.6407450437545776,0.022186407819390297,6.343135833740234,0.25,0.25
18,6.76449728012085,0.6038151979446411,0.02976156398653984,6.13092041015625,0.25,0.25
19,6.5491943359375,0.575386643409729,0.04226884990930557,5.931539058685303,0.25,0.25
20,6.324877738952637,0.5503648519515991,0.0634494423866272,5.711063385009766,0.25,0.25
21,6.153338432312012,0.5343438386917114,0.09032019972801208,5.528674602508545,0.25,0.25
22,5.99882173538208,0.5246437788009644,0.119666688144207,5.354511260986328,0.25,0.25
23,5.856556415557861,0.5197706818580627,0.15215061604976654,5.184635162353516,0.25,0.25
24,5.734027862548828,0.5186834931373596,0.18358491361141205,5.031759262084961,0.25,0.25
25,5.624009609222412,0.5190965533256531,0.21220801770687103,4.892704963684082,0.25,0.25
26,5.511910438537598,0.519664466381073,0.23917126655578613,4.753074645996094,0.25,0.25
27,5.405721187591553,0.5155164003372192,0.25518596172332764,4.635018825531006,0.25,0.25
28,5.2778096199035645,0.5009728074073792,0.2493305504322052,4.527506351470947,0.25,0.25
29,5.127750873565674,0.48350515961647034,0.2318412810564041,4.412404537200928,0.25,0.25
30,4.967248916625977,0.46526625752449036,0.1940208226442337,4.307961940765381,0.25,0.25
31,4.811534881591797,0.4502256214618683,0.1483791023492813,4.212930202484131,0.25,0.25
32,4.671184539794922,0.4330862760543823,0.12719857692718506,4.110899925231934,0.25,0.25
33,4.565702438354492,0.42131197452545166,0.10636445879936218,4.038025856018066,0.25,0.25
34,4.518843173980713,0.3963962495326996,0.1206570640206337,4.0017900466918945,0.25,0.25
35,4.4896063804626465,0.3948875665664673,0.12602339684963226,3.9686954021453857,0.25,0.25
36,4.270782470703125,0.3635919988155365,0.10357014834880829,3.8036201000213623,0.25,0.25
37,4.158652305603027,0.3554726839065552,0.08668012171983719,3.7164993286132812,0.25,0.25
38,4.090622425079346,0.34096425771713257,0.0875234603881836,3.6621346473693848,0.25,0.25
39,3.9543726444244385,0.332022488117218,0.07522784918546677,3.5471222400665283,0.25,0.25
40,3.873382329940796,0.32075318694114685,0.07322411984205246,3.479404926300049,0.25,0.25
41,3.783848524093628,0.3128097355365753,0.0651073157787323,3.4059314727783203,0.25,0.25
42,3.70084285736084,0.3076123893260956,0.06309147924184799,3.330138921737671,0.25,0.25
43,3.6239559650421143,0.29656293988227844,0.062125492841005325,3.2652676105499268,0.25,0.25
44,3.5446603298187256,0.29173216223716736,0.05423131585121155,3.1986968517303467,0.25,0.25
45,3.4761860370635986,0.2846253514289856,0.05378568544983864,3.13777494430542,0.25,0.25
46,3.40213680267334,0.2760836184024811,0.05079702287912369,3.075256109237671,0.25,0.25
47,3.3375821113586426,0.2727057635784149,0.04622773081064224,3.018648624420166,0.25,0.25
48,3.280927896499634,0.26635584235191345,0.04811284691095352,2.966459274291992,0.25,0.25
49,3.218132734298706,0.26181408762931824,0.04429920017719269,2.9120194911956787,0.25,0.25
50,3.167567729949951,0.25680068135261536,0.04623408615589142,2.864532947540283,0.25,0.25
51,3.1086721420288086,0.2552089989185333,0.038901351392269135,2.8145618438720703,0.25,0.25
52,3.0622780323028564,0.245992973446846,0.043816667050123215,2.772468328475952,0.25,0.25
53,3.007539987564087,0.24578607082366943,0.037955932319164276,2.7237980365753174,0.25,0.25
54,2.9540951251983643,0.23907862603664398,0.039426252245903015,2.6755902767181396,0.25,0.25
55,2.9004595279693604,0.2368537336587906,0.03285398706793785,2.630751848220825,0.25,0.25
56,2.8552393913269043,0.23309488594532013,0.032065797597169876,2.590078830718994,0.25,0.25
57,2.808260440826416,0.22745902836322784,0.031112458556890488,2.5496890544891357,0.25,0.25
58,2.7660744190216064,0.22606967389583588,0.030217349529266357,2.5097873210906982,0.25,0.25
59,2.720951557159424,0.22060877084732056,0.03173607587814331,2.46860671043396,0.25019124,0.25019124
60,2.6778452396392822,0.21820084750652313,0.029318006709218025,2.430326461791992,0.25044662,0.25045025
61,2.63759446144104,0.2123301774263382,0.032355472445487976,2.392908811569214,0.2507479,0.2507372
62,2.593700647354126,0.20886218547821045,0.02932542935013771,2.355513095855713,0.25106934,0.25103536
63,2.550609588623047,0.20413364470005035,0.026799729093909264,2.319676160812378,0.25139755,0.25137007
64,2.5077462196350098,0.19987796247005463,0.024105563759803772,2.2837626934051514,0.25174716,0.25172615
65,2.4688668251037598,0.19622626900672913,0.022957758978009224,2.249682903289795,0.25210238,0.25209352
66,2.4309141635894775,0.19091837108135223,0.022822462022304535,2.2171733379364014,0.25244528,0.2524722
67,2.392788887023926,0.1878427118062973,0.021266769617795944,2.1836793422698975,0.25274834,0.2528637
68,2.356614589691162,0.18263807892799377,0.021587150171399117,2.1523892879486084,0.25298357,0.25323877
69,2.320051431655884,0.1776794195175171,0.022340135648846626,2.1200318336486816,0.25315845,0.25357565
70,2.283853530883789,0.1726088672876358,0.022311994805932045,2.088932752609253,0.253275,0.25386
71,2.2496607303619385,0.16818420588970184,0.023481667041778564,2.057994842529297,0.25333282,0.2541084
72,2.2165727615356445,0.16350790858268738,0.025878842920064926,2.0271859169006348,0.2533525,0.25429913
73,2.185478448867798,0.15949647128582,0.028566183522343636,1.9974159002304077,0.25338876,0.25445154
74,2.1548984050750732,0.15532946586608887,0.031848594546318054,1.96772038936615,0.25349033,0.2546247
75,2.1252737045288086,0.15294532477855682,0.03318467736244202,1.9391437768936157,0.25368384,0.25481698
76,2.0973002910614014,0.14966367185115814,0.03806890919804573,1.9095677137374878,0.25395814,0.25503543
77,2.0711843967437744,0.14856906235218048,0.041542720049619675,1.8810726404190063,0.25428945,0.25527984
78,2.0574910640716553,0.1455433964729309,0.05726737901568413,1.8546802997589111,0.25466275,0.25557166
79,2.0695011615753174,0.1471581757068634,0.09351910650730133,1.8288239240646362,0.25506768,0.25588363
80,2.1007838249206543,0.1473602056503296,0.14520575106143951,1.808218002319336,0.2554985,0.2562456
81,2.0080158710479736,0.1410207748413086,0.0927543193101883,1.7742408514022827,0.25594965,0.25664118
82,1.9694035053253174,0.13844701647758484,0.08726229518651962,1.7436941862106323,0.25641638,0.25705144
83,1.9515058994293213,0.13458900153636932,0.09543932974338531,1.7214775085449219,0.25688946,0.25748244
84,1.9110488891601562,0.1329205483198166,0.08677323162555695,1.6913551092147827,0.25737038,0.2579365
85,1.902345061302185,0.13625159859657288,0.09681816399097443,1.6692752838134766,0.25785658,0.25841033
86,1.8856968879699707,0.13559547066688538,0.10789042711257935,1.6422109603881836,0.25833985,0.25888976
87,1.8813433647155762,0.14151154458522797,0.12150545418262482,1.6183264255523682,0.2588258,0.25938478
88,1.8953583240509033,0.14788049459457397,0.15094232559204102,1.5965354442596436,0.25929645,0.25989217
89,1.8353853225708008,0.13204145431518555,0.13248199224472046,1.5708619356155396,0.25975627,0.26040906
90,1.7790545225143433,0.12455843389034271,0.10931900888681412,1.5451771020889282,0.2602208,0.2609347
91,1.768057942390442,0.12686647474765778,0.11999604105949402,1.521195411682129,0.26068464,0.2614706
92,1.7257128953933716,0.1206834614276886,0.1054772138595581,1.4995522499084473,0.261146,0.26201004
93,1.7019739151000977,0.12052024900913239,0.10944508016109467,1.4720085859298706,0.26160276,0.26255155
94,1.6680939197540283,0.11419901251792908,0.10247945040464401,1.4514154195785522,0.26205674,0.26309705
95,1.649070143699646,0.11397234350442886,0.10781638324260712,1.427281379699707,0.26250604,0.2636471
96,1.61733078956604,0.11208813637495041,0.10267695784568787,1.4025657176971436,0.26294714,0.26420298
97,1.5950294733047485,0.10998812317848206,0.10319744050502777,1.3818439245224,0.26335865,0.2647542
98,1.5694615840911865,0.10773992538452148,0.10188451409339905,1.3598371744155884,0.26376134,0.26530746
99,1.5434318780899048,0.10532765835523605,0.10058941692113876,1.3375147581100464,0.26415497,0.26586106
100,1.5210405588150024,0.10454303026199341,0.0951213464140892,1.3213762044906616,0.26454562,0.2663981
101,1.498230218887329,0.10375624895095825,0.09314281493425369,1.3013311624526978,0.2649317,0.26693055
102,1.4755223989486694,0.10266917943954468,0.09232190251350403,1.2805312871932983,0.26530102,0.26743448
103,1.4502288103103638,0.10067399591207504,0.09027856588363647,1.259276270866394,0.2656716,0.2679278
104,1.4301129579544067,0.09957807511091232,0.09530311822891235,1.2352317571640015,0.26602048,0.26841468
105,1.406583309173584,0.09888361394405365,0.09186480939388275,1.2158348560333252,0.2663603,0.26888862
106,1.386337161064148,0.09752042591571808,0.09404352307319641,1.1947731971740723,0.26669356,0.26935485
107,1.3619914054870605,0.09622164070606232,0.0934288427233696,1.1723408699035645,0.26702216,0.26979607
108,1.3418347835540771,0.0960860326886177,0.09080521762371063,1.1549434661865234,0.26734233,0.2702189
109,1.3232297897338867,0.09470353275537491,0.09349615126848221,1.1350301504135132,0.26765707,0.27063167
110,1.3061459064483643,0.09417231380939484,0.09220831841230392,1.119765281677246,0.26797694,0.2710176
111,1.283823847770691,0.09335155040025711,0.09887462109327316,1.0915976762771606,0.26828098,0.2713958
112,1.2624722719192505,0.09372328221797943,0.09090186655521393,1.0778471231460571,0.26857945,0.2717432
113,1.2455097436904907,0.0926855057477951,0.09874565899372101,1.0540785789489746,0.26886362,0.2720811
114,1.2205427885055542,0.09152954071760178,0.09311561286449432,1.0358976125717163,0.26915073,0.2723983
115,1.1985549926757812,0.09100603312253952,0.09589079767465591,1.0116581916809082,0.26942545,0.27268547
116,1.1781173944473267,0.09075295180082321,0.09623126685619354,0.9911331534385681,0.2697203,0.2729596
117,1.1603236198425293,0.08974556624889374,0.09517285972833633,0.9754051566123962,0.26999226,0.27321717
118,1.144011378288269,0.0898229107260704,0.09833315759897232,0.9558553099632263,0.27025115,0.27344856
119,1.15085768699646,0.08932296931743622,0.09849696606397629,0.9630377888679504,0.27051646,0.2736774
