epoch,loss_total,loss_data,loss_physics,loss_ic,param_0,param_1
0,13.507369995117188,2.043588638305664,0.7396235466003418,10.72415828704834,1.0,1.0
1,12.91977310180664,1.9158904552459717,0.6432416439056396,10.360640525817871,1.0,1.0
2,12.486072540283203,1.8238180875778198,0.5808862447738647,10.081368446350098,1.0,1.0
3,12.233189582824707,1.7579452991485596,0.5358654856681824,9.93937873840332,1.0,1.0
4,12.008401870727539,1.7029950618743896,0.4984903931617737,9.806916236877441,1.0,1.0
5,11.774965286254883,1.6490343809127808,0.4646132290363312,9.661317825317383,1.0,1.0
6,11.536264419555664,1.5932362079620361,0.4306757152080536,9.512351989746094,1.0,1.0
7,11.2916259765625,1.5352976322174072,0.39520320296287537,9.361124992370605,1.0,1.0
8,11.052042007446289,1.4787590503692627,0.36107951402664185,9.212203979492188,1.0,1.0
9,10.807168006896973,1.421032428741455,0.32694730162620544,9.059187889099121,1.0,1.0
10,10.55752182006836,1.362438678741455,0.2919313609600067,8.903151512145996,1.0,1.0
11,10.308218955993652,1.3010828495025635,0.25474393367767334,8.752391815185547,1.0,1.0
12,10.066518783569336,1.2425618171691895,0.2217295914888382,8.602227210998535,1.0,1.0
13,9.824727058410645,1.1855171918869019,0.18901579082012177,8.450194358825684,1.0,1.0
14,9.58830451965332,1.1311297416687012,0.15949799120426178,8.297677040100098,1.0,1.0
15,9.354133605957031,1.0788557529449463,0.1321699619293213,8.143107414245605,1.0,1.0
16,9.128145217895508,1.0291587114334106,0.10721134394407272,7.991775035858154,1.0,1.0
17,8.911638259887695,0.9819521903991699,0.0854748785495758,7.844211101531982,1.0,1.0
18,8.703216552734375,0.9374065399169922,0.06672082841396332,7.699089050292969,1.0,1.0
19,8.499405860900879,0.8950977921485901,0.0504947304725647,7.553813457489014,1.0,1.0
20,8.306047439575195,0.8564561009407043,0.03736266493797302,7.412228584289551,1.0,1.0
21,8.123135566711426,0.8207738399505615,0.026530100032687187,7.275831699371338,1.0,1.0
22,7.943562984466553,0.7862344980239868,0.017156390473246574,7.140172004699707,1.0,1.0
23,7.777312755584717,0.7551066875457764,0.010613493621349335,7.011592388153076,1.0,1.0
24,7.619294166564941,0.7261777520179749,0.0061002145521342754,6.887016296386719,1.0,1.0
25,7.465229511260986,0.6991128325462341,0.003547586500644684,6.762568950653076,1.0,1.0
26,7.324277877807617,0.6753548979759216,0.0033049876801669598,6.645617961883545,1.0,1.0
27,7.186101913452148,0.6531402468681335,0.004777050111442804,6.528184413909912,1.0,1.0
28,7.055583477020264,0.6331081986427307,0.008239995688199997,6.4142351150512695,1.0,1.0
29,6.935083389282227,0.6155933141708374,0.013481155969202518,6.306008815765381,1.0,1.0
30,6.819950103759766,0.5997933149337769,0.020259397104382515,6.199897289276123,1.0,1.0
31,6.71087646484375,0.5856721997261047,0.02868117392063141,6.096523284912109,1.0,1.0
32,6.6116132736206055,0.573754072189331,0.03836117684841156,5.999497890472412,1.0,1.0
33,6.5158233642578125,0.5633557438850403,0.04947348311543465,5.902994155883789,1.0,1.0
34,6.427327632904053,0.5547479391098022,0.06156206130981445,5.8110175132751465,1.0,1.0
35,6.345677852630615,0.5477547645568848,0.07468216866254807,5.723240852355957,1.0,1.0
36,6.268619537353516,0.5421028137207031,0.08912918716669083,5.637387752532959,1.0,1.0
37,6.197253704071045,0.5378032922744751,0.10442569106817245,5.55502462387085,1.0,1.0
38,6.132266998291016,0.5348148345947266,0.12006950378417969,5.477382659912109,1.0,1.0
39,6.070563793182373,0.5329057574272156,0.13651061058044434,5.401147365570068,1.0,1.0
40,6.0141143798828125,0.5319029688835144,0.1527353823184967,5.3294758796691895,1.0,1.0
41,5.961566925048828,0.5314968228340149,0.16863887012004852,5.2614312171936035,1.0,1.0
42,5.911477088928223,0.5313247442245483,0.1842273324728012,5.195925235748291,1.0,1.0
43,5.8630828857421875,0.530632495880127,0.19891010224819183,5.133540153503418,1.0,1.0
44,5.815179824829102,0.5282795429229736,0.21229657530784607,5.07460355758667,1.0,1.0
45,5.765734672546387,0.5233609676361084,0.22351442277431488,5.018859386444092,1.0,1.0
46,5.711275100708008,0.5174025297164917,0.22731849551200867,4.966554164886475,1.0,1.0
47,5.650494575500488,0.5081812739372253,0.21976938843727112,4.922544002532959,1.0,1.0
48,5.590297698974609,0.5040246248245239,0.21960869431495667,4.866664409637451,1.0,1.0
49,5.59527063369751,0.49003809690475464,0.1963299959897995,4.908902645111084,1.0,1.0
50,5.716000556945801,0.5212305784225464,0.2859881818294525,4.9087815284729,1.0,1.0
51,5.449284553527832,0.484623521566391,0.22397689521312714,4.7406840324401855,1.0,1.0
52,5.54719877243042,0.4825643301010132,0.11869639158248901,4.9459381103515625,1.0,1.0
53,5.303813934326172,0.4636969268321991,0.151621013879776,4.688496112823486,1.0,1.0
